GameID,ignID,tgbdID
1,96184,373733
2,93969,1590507
3,39935,1911540
4,78646,1006303
5,51517,2070387
6,26691,507435
7,29760,565827
8,68001,3628408
9,99658,2761018
10,51277,1006624
11,16216,2161377
12,34678,3473544
13,33101,3152418
14,73532,1503015
15,54023,2455360
16,37025,3411172
17,86355,32226
18,87011,1634963
19,71730,2566485
20,58347,919227
21,36721,2341672
22,72843,863354
23,54323,274208
24,36039,1599288
25,86061,2974305
26,75369,2139533
27,16442,736852
28,19523,1813839
29,85422,1629672
30,84840,3052951
31,29027,3496592
32,42575,3277049
33,37897,2741004
34,51121,2721415
35,20569,864479
36,89172,2100454
37,39702,1994315
38,85528,1548453
39,93091,1443065
40,95134,2792761
41,65711,423930
42,59500,132382
43,12363,1347325
44,48957,2937246
45,80172,1907505
46,33382,801647
47,37816,3520082
48,54774,3120429
49,84955,1743254
50,31364,105970
51,20881,2831580
52,101065,2645273
53,73080,1703321
54,40584,2830358
55,91677,1371931
56,15836,2590298
57,11153,793229
58,29096,2810212
59,23302,1480974
60,68748,1574047
61,72095,3315993
62,44870,3212184
63,101354,1057917
64,32399,3136974
65,13908,2356458
66,83176,87084
67,37854,2901448
68,70283,30321
69,34839,2771094
70,68614,2213606
71,68109,2334446
72,41856,2914624
73,81514,174868
74,24926,1062607
75,20674,3270450
76,24449,3209077
77,53867,3591442
78,67223,1492612
79,63022,229266
80,36161,1173861
81,67106,2433511
82,11198,1211858
83,62187,3565002
84,71787,3146843
85,87710,1797092
86,76880,880610
87,44435,1511957
88,64325,1731472
89,96316,2136002
90,51935,3672848
91,12723,1862295
92,85355,285875
93,79354,3517828
94,27980,1820755
95,66419,2816361
96,25476,3018453
97,23819,1867847
98,31830,638093
99,101199,667954
100,63511,1568626
101,28400,1484879
102,27699,1023880
103,41985,739842
104,39760,2034292
105,100057,1669705
106,53337,2762535
107,49875,3108964
108,24058,2011177
109,98337,2491151
110,100404,2214961
111,89143,1385421
112,23587,681544
113,12901,883939
114,21635,3614519
115,11015,2879967
116,28077,3151020
117,45016,1012060
118,11457,174716
119,63226,2781472
120,74962,2158929
121,41121,1083665
122,90223,1807162
123,70172,3305749
124,70272,1357844
125,83916,3662847
126,54720,2569765
127,70029,2381225
128,95637,3341938
129,31954,2509255
130,35887,1946114
131,89714,3357957
132,69889,306407
133,23135,1129875
134,77913,430855
135,40814,3400342
136,81701,1009430
