userID,GameID,Publisher
14865,1,Nintendo
19432,2,Nintendo
17636,3,Nintendo
12399,4,Nintendo
9249,5,Nintendo
12777,6,Nintendo
3663,7,Nintendo
3383,8,Nintendo
13308,9,Nintendo
19137,10,Nintendo
4489,11,Nintendo
5480,12,Nintendo
10477,13,Nintendo
11961,14,Nintendo
9758,15,Nintendo
3311,16,Microsoft Game Studios
1322,17,Take-Two Interactive
10402,18,Take-Two Interactive
7450,19,Nintendo
9720,20,Nintendo
7410,21,Nintendo
3115,22,Nintendo
6608,23,Nintendo
19807,24,Take-Two Interactive
19422,25,Take-Two Interactive
7385,26,Nintendo
12373,27,Nintendo
13847,28,Nintendo
8285,29,Sony Computer Entertainment
1606,30,Activision
3473,31,Nintendo
1189,32,Activision
18266,33,Nintendo
15604,34,Activision
5743,35,Activision
13832,36,Activision
4366,37,Activision
10536,38,Activision
9934,39,Take-Two Interactive
14592,40,Nintendo
1897,41,Activision
6133,42,Nintendo
722,43,Nintendo
8754,44,Microsoft Game Studios
15735,45,Take-Two Interactive
16949,46,Nintendo
14336,47,Nintendo
2472,48,Sony Computer Entertainment
5039,49,Nintendo
9085,50,Nintendo
3774,51,Nintendo
1859,52,Take-Two Interactive
10763,53,Sony Computer Entertainment
6577,54,Nintendo
399,55,Sony Computer Entertainment
14802,56,Activision
19244,57,Take-Two Interactive
550,58,Nintendo
11000,59,Nintendo
9703,60,Nintendo
7076,61,Ubisoft
16844,62,Activision
4090,63,Microsoft Game Studios
4975,64,Nintendo
2200,65,Nintendo
6563,66,Microsoft Game Studios
17787,67,Sony Computer Entertainment
1108,68,Activision
18993,69,Ubisoft
11612,70,Sony Computer Entertainment
8220,71,Activision
10557,72,Nintendo
17733,73,Microsoft Game Studios
11309,74,Nintendo
8841,75,Nintendo
4967,76,Bethesda Softworks
12236,77,Nintendo
13734,78,Electronic Arts
11778,79,Nintendo
8073,80,Microsoft Game Studios
11414,81,Nintendo
4661,82,Nintendo
6964,83,Electronic Arts
16149,84,Electronic Arts
16719,85,Nintendo
17083,86,Sega
15444,87,Sony Computer Entertainment
7093,88,SquareSoft
10230,89,Nintendo
13911,90,Atari
