GameID,Name,Genre,rating,userID
1,Wii Sports,Sports,5,14865
2,Super Mario Bros.,Platform,1,19432
3,Mario Kart Wii,Racing,5,17636
4,Wii Sports Resort,Sports,2,12399
5,Pokemon Red/Pokemon Blue,Role-Playing,4,9249
6,Tetris,Puzzle,1,12777
7,New Super Mario Bros.,Platform,5,3663
8,Wii Play,Misc,1,3383
9,New Super Mario Bros. Wii,Platform,2,13308
10,Duck Hunt,Shooter,4,19137
11,Nintendogs,Simulation,1,4489
12,Mario Kart DS,Racing,5,5480
13,Pokemon Gold/Pokemon Silver,Role-Playing,5,10477
14,Wii Fit,Sports,3,11961
15,Wii Fit Plus,Sports,4,9758
16,Kinect Adventures!,Misc,1,3311
17,Grand Theft Auto V,Action,3,1322
18,Grand Theft Auto: San Andreas,Action,3,10402
19,Super Mario World,Platform,1,7450
20,Brain Age: Train Your Brain in Minutes a Day,Misc,4,9720
21,Pokemon Diamond/Pokemon Pearl,Role-Playing,2,7410
22,Super Mario Land,Platform,5,3115
23,Super Mario Bros. 3,Platform,3,6608
24,Grand Theft Auto V,Action,1,19807
25,Grand Theft Auto: Vice City,Action,1,19422
26,Pokemon Ruby/Pokemon Sapphire,Role-Playing,2,7385
27,Pokemon Black/Pokemon White,Role-Playing,5,12373
28,Brain Age 2: More Training in Minutes a Day,Puzzle,4,13847
29,Gran Turismo 3: A-Spec,Racing,1,8285
30,Call of Duty: Modern Warfare 3,Shooter,2,1606
31,Pokémon Yellow: Special Pikachu Edition,Role-Playing,3,3473
32,Call of Duty: Black Ops,Shooter,1,1189
33,Pokemon X/Pokemon Y,Role-Playing,2,18266
34,Call of Duty: Black Ops 3,Shooter,3,15604
35,Call of Duty: Black Ops II,Shooter,3,5743
36,Call of Duty: Black Ops II,Shooter,2,13832
37,Call of Duty: Modern Warfare 2,Shooter,1,4366
38,Call of Duty: Modern Warfare 3,Shooter,1,10536
39,Grand Theft Auto III,Action,3,9934
40,Super Smash Bros. Brawl,Fighting,5,14592
41,Call of Duty: Black Ops,Shooter,5,1897
42,Animal Crossing: Wild World,Simulation,4,6133
43,Mario Kart 7,Racing,3,722
44,Halo 3,Shooter,1,8754
45,Grand Theft Auto V,Action,1,15735
46,Pokemon HeartGold/Pokemon SoulSilver,Action,2,16949
47,Super Mario 64,Platform,1,14336
48,Gran Turismo 4,Racing,2,2472
49,Super Mario Galaxy,Platform,5,5039
